"date","url","year"
"17 September 2014","http://www.who.int/csr/don/17-september-2014-enterovirus/en/",2014
"10 September 2014","http://www.who.int/csr/don/2014_09_10_ebola/en/",2014
"6 September 2014","http://www.who.int/csr/don/2014_09_06_polio/en/",2014
"4 September 2014","http://www.who.int/csr/don/2014_09_04_avian_influenza/en/",2014
"4 September 2014","http://www.who.int/csr/don/2014_09_04_ebola/en/",2014
"30 August 2014","http://www.who.int/csr/don/2014_08_30_ebola/en/",2014
"28 August 2014","http://www.who.int/csr/don/2014_08_28_ebola/en/",2014
"27 August 2014","http://www.who.int/csr/don/2014_08_27_ebola/en/",2014
"22 August 2014","http://www.who.int/csr/don/2014_08_22_ebola/en/",2014
"20 August 2014","http://www.who.int/csr/don/2014_08_20_ebola/en/",2014
"19 August 2014","http://www.who.int/csr/don/2014_08_19_ebola/en/",2014
"15 August 2014","http://www.who.int/csr/don/2014_08_15_ebola/en/",2014
"13 August 2014","http://www.who.int/csr/don/2014_08_13_ebola/en/",2014
"11 August 2014","http://www.who.int/csr/don/2014_08_11_ebola/en/",2014
"8 August 2014","http://www.who.int/csr/don/2014_08_08_ebola/en/",2014
"6 August 2014","http://www.who.int/csr/don/2014_08_06_ebola/en/",2014
"4 August 2014","http://www.who.int/csr/don/2014_08_04_ebola/en/",2014
"31 July 2014","http://www.who.int/csr/don/2014_07_31_ebola/en/",2014
"27 July 2014","http://www.who.int/csr/don/2014_07_27_ebola/en/",2014
"24 July 2014","http://www.who.int/csr/don/2014_07_24_ebola/en/",2014
"23 July 2014","http://www.who.int/csr/don/2014_07_23_mers/en/",2014
"19 July 2014","http://www.who.int/csr/don/2014_07_19_ebola/en/",2014
"17 July 2014","http://www.who.int/csr/don/2014_07_17_polio/en/",2014
"17 July 2014","http://www.who.int/csr/don/2014_07_17_ebola/en/",2014
"15 July 2014","http://www.who.int/csr/don/2014_07_15_ebola/en/",2014
"14 July 2014","http://www.who.int/csr/don/2014_07_14_mers/en/",2014
"14 July 2014","http://www.who.int/csr/don/2014_07_14_mers2/en/",2014
"10 July 2014","http://www.who.int/csr/don/2014_07_10_ebola/en/",2014
"8 July 2014","http://www.who.int/csr/don/2014_07_08_ebola/en/",2014
"4 July 2014","http://www.who.int/csr/don/2014_07_04_mers/en/",2014
"3 July 2014","http://www.who.int/csr/don/2014_07_03_ebola/en/",2014
"2 July 2014","http://www.who.int/csr/don/2014_07_02_mers/en/",2014
"1 July 2014","http://www.who.int/csr/don/2014_07_01_ebola/en/",2014
"27 June 2014","http://www.who.int/csr/don/2014_06_27_avian_influenza/en/",2014
"26 June 2014","http://www.who.int/csr/don/2014_06_26_mers/en/",2014
"26 June 2014","http://www.who.int/csr/don/2014_06_26/en/",2014
"25 June 2014","http://www.who.int/csr/don/2014_06_25_mers/en/",2014
"25 June 2014","http://www.who.int/csr/don/2014_6_25_polio/en/",2014
"24 June 2014","http://www.who.int/csr/don/2014_06_24_avian_influenza/en/",2014
"24 June 2014","http://www.who.int/csr/don/2014_06_24_ebola/en/",2014
"23 June 2014","http://www.who.int/csr/don/2014_6_23polio/en/",2014
"22 June 2014","http://www.who.int/csr/don/2014_06_22_ebola/en/",2014
"18 June 2014","http://www.who.int/csr/don/2014_06_18_avian_influenza/en/",2014
"18 June 2014","http://www.who.int/csr/don/2014_06_18_ebola/en/",2014
"16 June 2014","http://www.who.int/csr/don/2014_06_16_mers/en/",2014
"14 June 2014","http://www.who.int/csr/don/2014_06_14_mers/en/",2014
"13 June 2014","http://www.who.int/csr/don/2014_06_13_mers/en/",2014
"11 June 2014","http://www.who.int/csr/don/2014_06_11_mers/en/",2014
"10 June 2014","http://www.who.int/csr/don/2014_06_10_ebola/en/",2014
"10 June 2014","http://www.who.int/csr/don/2014_06_10_h7n9/en/",2014
"6 June 2014","http://www.who.int/csr/don/2014_06_06_ebola/en/",2014
"4 June 2014","http://www.who.int/csr/don/2014_06_04_ebola/en/",2014
"4 June 2014","http://www.who.int/csr/don/2014_06_04_mers/en/",2014
"30 May 2014","http://www.who.int/csr/don/2014_05_30_ebola/en/",2014
"30 May 2014","http://www.who.int/csr/don/2014_05_30/en/",2014
"28 May 2014","http://www.who.int/csr/don/2014_05_28_ebola/en/",2014
"28 May 2014","http://www.who.int/csr/don/2014_05_28_mers/en/",2014
"28 May 2014","http://www.who.int/csr/don/2014_05_28_h7n9/en/",2014
"24 May 2014","http://www.who.int/csr/don/2014_05_24_ebola/en/",2014
"23 May 2014","http://www.who.int/csr/don/2014_05_23_mers/en/",2014
"22 May 2014","http://www.who.int/csr/don/2014_05_22_mers/en/",2014
"22 May 2014","http://www.who.int/csr/don/2014_05_22_h7n9/en/",2014
"16 May 2014","http://www.who.int/csr/don/2014_05_16_mers/en/",2014
"15 May 2014","http://www.who.int/csr/don/2014_05_15_mers/en/",2014
"15 May 2014","http://www.who.int/csr/don/2014_05_15_h7n9/en/",2014
"15 May 2014","http://www.who.int/csr/don/2014_05_15_ebola/en/",2014
"12 May 2014","http://www.who.int/csr/don/2014_05_12_ebola/en/",2014
"9 May 2014","http://www.who.int/csr/don/2014_05_09_ebola/en/",2014
"8 May 2014","http://www.who.int/csr/don/2014_05_08_ebola/en/",2014
"7 May 2014","http://www.who.int/csr/don/2014_05_07_mers_jordan/en/",2014
"7 May 2014","http://www.who.int/csr/don/2014_05_07_mers_yemen/en/",2014
"6 May 2014","http://www.who.int/csr/don/2014_05_06_ebola/en/",2014
"5 May 2014","http://www.who.int/csr/don/2014_05_05_mers/en/",2014
"5 May 2014","http://www.who.int/csr/don/2014_05_05_mers_jordan/en/",2014
"2 May 2014","http://www.who.int/csr/don/2014_05_02_ebola/en/",2014
"1 May 2014","http://www.who.int/csr/don/2014_05_01_h7n9/en/",2014
"1 May 2014","http://www.who.int/csr/don/2014_05_01_mers/en/",2014
"28 April 2014","http://www.who.int/csr/don/2014_04_28_ebola/en/",2014
"26 April 2014","http://www.who.int/csr/don/2014_04_26_mers/en/",2014
"25 April 2014","http://www.who.int/csr/don/2014_04_25_ebola/en/",2014
"24 April 2014","http://www.who.int/csr/don/2014_04_24_h7n9/en/",2014
"24 April 2014","http://www.who.int/csr/don/2014_04_24_mers/en/",2014
"24 April 2014","http://www.who.int/csr/don/2014_04_24_yellowfever/en/",2014
"23 April 2014","http://www.who.int/csr/don/2014_04_23_mers/en/",2014
"22 April 2014","http://www.who.int/csr/don/2014_04_22_ebola/en/",2014
"20 April 2014","http://www.who.int/csr/don/2014_04_20_mers/en/",2014
"19 April 2014","http://www.who.int/csr/don/2014_04_19_ebola/en/",2014
"17 April 2014","http://www.who.int/csr/don/2014_4_17polio/en/",2014
"17 April 2014","http://www.who.int/csr/don/2014_04_17_ebola/en/",2014
"17 April 2014","http://www.who.int/csr/don/2014_04_17_mers/en/",2014
"16 April 2014","http://www.who.int/csr/don/2014_04_16_h7n9/en/",2014
"16 April 2014","http://www.who.int/csr/don/2014_04_16_mers/en/",2014
"15 April 2014","http://www.who.int/csr/don/2014_04_15_h7n9/en/",2014
"14 April 2014","http://www.who.int/csr/don/2014_04_14_ebola/en/",2014
"14 April 2014","http://www.who.int/csr/don/2014_04_14_h7n9/en/",2014
"14 April 2014","http://www.who.int/csr/don/2014_04_14_mers/en/",2014
"11 April 2014","http://www.who.int/csr/don/2014_04_11_h7n9/en/",2014
"11 April 2014","http://www.who.int/csr/don/2014_04_11_mers/en/",2014
"10 April 2014","http://www.who.int/csr/don/2014_04_10_ebola/en/",2014
"10 April 2014","http://www.who.int/csr/don/2014_04_10_h7n9/en/",2014
"10 April 2014","http://www.who.int/csr/don/2014_04_10_mers/en/",2014
"8 April 2014","http://www.who.int/csr/don/2014_04_08/en/",2014
"8 April 2014","http://www.who.int/csr/don/2014_04_08_HKSAR/en/",2014
"7 April 2014","http://www.who.int/csr/don/2014_04_07_ebola/en/",2014
"5 April 2014","http://www.who.int/csr/don/2014_04_05_ebola/en/",2014
"4 April 2014","http://www.who.int/csr/don/2014_04_04/en/",2014
"3 April 2014","http://www.who.int/csr/don/2014_04_ebola/en/",2014
"3 April 2014","http://www.who.int/csr/don/2014_04_03/en/",2014
"2 April 2014","http://www.who.int/csr/don/2014_04_02_ebola/en/",2014
"1 April 2014","http://www.who.int/csr/don/2014_04_01_ebola/en/",2014
"30 March 2014","http://www.who.int/csr/don/2014_03_30_ebola_lbr/en/",2014
"30 March 2014","http://www.who.int/csr/don/2014_03_30_ebola/en/",2014
"28 March 2014","http://www.who.int/csr/don/2014_03_28/en/",2014
"27 March 2014","http://www.who.int/csr/don/2014_03_27_ebola/en/",2014
"27 March 2014","http://www.who.int/csr/don/2014_03_27_mers/en/",2014
"27 March 2014","http://www.who.int/csr/don/2014_03_27/en/",2014
"26 March 2014","http://www.who.int/csr/don/2014_03_26/en/",2014
"26 March 2014","http://www.who.int/csr/don/2014_03_26_ebola/en/",2014
"25 March 2014","http://www.who.int/csr/don/2014_03_25/en/",2014
"25 March 2014","http://www.who.int/csr/don/2014_03_25_ebola/en/",2014
"24 March 2014","http://www.who.int/csr/don/2014_03_24_ebola/en/",2014
"23 March 2014","http://www.who.int/csr/don/2014_03_23_ebola/en/",2014
"21 March 2014","http://www.who.int/csr/don/2014_3_21polio/en/",2014
"20 March 2014","http://www.who.int/csr/don/2014_03_20_mers/en/",2014
"20 March 2014","http://www.who.int/csr/don/2014_03_20_h7n9bis/en/",2014
"20 March 2014","http://www.who.int/csr/don/2014_03_20_h7n9/en/",2014
"18 March 2014","http://www.who.int/csr/don/2014_03_18/en/",2014
"17 March 2014","http://www.who.int/csr/don/2014_03_17_h7n9/en/",2014
"17 March 2014","http://www.who.int/csr/don/2014_03_17/en/",2014
"17 March 2014","http://www.who.int/csr/don/2014_03_17_polio/en/",2014
"12 March 2014","http://www.who.int/csr/don/2014_03_12/en/",2014
"11 March 2014","http://www.who.int/csr/don/2014_03_11c/en/",2014
"11 March 2014","http://www.who.int/csr/don/2014_03_11b/en/",2014
"11 March 2014","http://www.who.int/csr/don/2014_03_11/en/",2014
"10 March 2014","http://www.who.int/csr/don/2014_03_10/en/",2014
"7 March 2014","http://www.who.int/csr/don/2014_03_07/en/",2014
"5 March 2014","http://www.who.int/csr/don/2014_03_05/en/",2014
"3 March 2014","http://www.who.int/csr/don/2014_03_03/en/",2014
"28 February 2014","http://www.who.int/csr/don/2014_02_28/en/",2014
"27 February 2014","http://www.who.int/csr/don/2014_02_27b/en/",2014
"27 February 2014","http://www.who.int/csr/don/2014_02_27/en/",2014
"24 February 2014","http://www.who.int/csr/don/2014_02_24/en/",2014
"18 February 2014","http://www.who.int/csr/don/2014_02_18/en/",2014
"17 February 2014","http://www.who.int/csr/don/2014_02_17/en/",2014
"17 February 2014","http://www.who.int/csr/don/2014_02_17_ah7n9/en/",2014
"14 February 2014","http://www.who.int/csr/don/2014_02_14/en/",2014
"11 February 2014","http://www.who.int/csr/don/2014_02_11/en/",2014
"10 February 2014","http://www.who.int/csr/don/2014_02_10/en/",2014
"7 February 2014","http://www.who.int/csr/don/2014_02_07mers/en/",2014
"7 February 2014","http://www.who.int/csr/don/2014_02_07/en/",2014
"5 February 2014","http://www.who.int/csr/don/2014_02_05bis/en/",2014
"5 February 2014","http://www.who.int/csr/don/2014_02_05/en/",2014
"4 February 2014","http://www.who.int/csr/don/2014_02_04mers/en/",2014
"4 February 2014","http://www.who.int/csr/don/2014_02_04/en/",2014
"3 February 2014","http://www.who.int/csr/don/2014_02_03/en/",2014
"1 February 2014","http://www.who.int/csr/don/2014_02_01/en/",2014
"31 January 2014","http://www.who.int/csr/don/2014_01_31/en/",2014
"30 January 2014","http://www.who.int/csr/don/2014_01_30/en/",2014
"29 January 2014","http://www.who.int/csr/don/2014_01_29/en/",2014
"27 January 2014","http://www.who.int/csr/don/2014_01_27mers/en/",2014
"27 January 2014","http://www.who.int/csr/don/2014_01_27/en/",2014
"25 January 2014","http://www.who.int/csr/don/2014_01_25/en/",2014
"23 January 2014","http://www.who.int/csr/don/2014_01_23/en/",2014
"22 January 2014","http://www.who.int/csr/don/2014_01_22/en/",2014
"20 January 2014","http://www.who.int/csr/don/2014_01_20bis/en/",2014
"20 January 2014","http://www.who.int/csr/don/2014_01_20/en/",2014
"17 January 2014","http://www.who.int/csr/don/2014_01_17/en/",2014
"16 January 2014","http://www.who.int/csr/don/2014_01_16/en/",2014
"15 January 2014","http://www.who.int/csr/don/2014_01_15/en/",2014
"14 January 2014","http://www.who.int/csr/don/2014_01_14/en/",2014
"13 January 2014","http://www.who.int/csr/don/2014_01_13/en/",2014
"10 January 2014","http://www.who.int/csr/don/2014_01_10_h7n9/en/",2014
"9 January 2014","http://www.who.int/csr/don/2014_01_09_h7n9/en/",2014
"9 January 2014","http://www.who.int/csr/don/2014_01_09_h5n1/en/",2014
"9 January 2014","http://www.who.int/csr/don/2014_01_09/en/",2014
"7 January 2014","http://www.who.int/csr/don/2014_01_07/en/",2014
"6 January 2014","http://www.who.int/csr/don/2014_01_06/en/",2014
"3 January 2014","http://www.who.int/csr/don/2014_01_03/en/",2014
